					
Mesure effectuee le 24/03/2014 a 16:01					
frequence 100 millisecond multiple					
section 0,04mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,04
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
156,109497	-0,003256	-0,003224	0,006244	-0,761471	
156,109497	-0,003258	-0,003225	0,006244	-0,761471	
124,887604	-0,003257	-0,003222	0,004996	-0,783235	
124,887604	-0,003257	-0,003221	0,004996	-0,783235	
156,109497	-0,003257	-0,003222	0,006244	-0,799412	
156,109497	-0,003256	-0,003224	0,006244	-0,799412	
171,720459	-0,003258	-0,003222	0,006869	-0,818824	
171,720459	-0,003257	-0,003224	0,006869	-0,837647	
202,942352	-0,003254	-0,003223	0,008118	-0,837647	
202,942352	-0,003257	-0,003225	0,008118	-0,856765	
187,331406	-0,003256	-0,003222	0,007493	-0,856765	
202,942352	-0,003257	-0,003225	0,008118	-0,876471	
202,942352	-0,003256	-0,003224	0,008118	-0,876471	
234,164246	-0,003258	-0,003223	0,009367	-0,895588	
234,164246	-0,003256	-0,003224	0,009367	-0,895588	
234,164246	-0,003256	-0,003224	0,009367	-0,914706	
234,164246	-0,003256	-0,003223	0,009367	-0,914706	
265,386139	-0,003256	-0,003223	0,010615	-0,933235	
265,386139	-0,003256	-0,003223	0,010615	-0,933235	
218,553299	-0,003256	-0,003223	0,008742	-0,952647	
218,553299	-0,003259	-0,003225	0,008742	-0,952647	
249,775208	-0,003257	-0,003224	0,009991	-0,971176	
249,775208	-0,003257	-0,003225	0,009991	-0,971176	
234,164246	-0,003258	-0,003224	0,009367	-0,990882	
234,164246	-0,003259	-0,003222	0,009367	-0,990882	
249,775208	-0,003259	-0,003224	0,009991	-1,01	
249,775208	-0,003257	-0,003226	0,009991	-1,01	
280,997101	-0,003257	-0,003226	0,01124	-1,031176	
280,997101	-0,003256	-0,003225	0,01124	-1,031176	
280,997101	-0,003256	-0,003225	0,01124	-1,049118	
280,997101	-0,003256	-0,003224	0,01124	-1,049118	
296,608063	-0,003257	-0,003224	0,011864	-1,068824	
296,608063	-0,003257	-0,003223	0,011864	-1,087647	
296,608063	-0,003256	-0,003223	0,011864	-1,087647	
296,608063	-0,003257	-0,003223	0,011864	-1,107059	
280,997101	-0,003254	-0,003226	0,01124	-1,107059	
296,608063	-0,003258	-0,003224	0,011864	-1,125882	
296,608063	-0,003256	-0,003223	0,011864	-1,125882	
312,218994	-0,003256	-0,003223	0,012489	-1,145	
312,218994	-0,003257	-0,003225	0,012489	-1,145	
359,051849	-0,003259	-0,003225	0,014362	-1,163823	
359,051849	-0,003256	-0,003224	0,014362	-1,163823	
343,440918	-0,003256	-0,003222	0,013738	-1,182941	
343,440918	-0,003257	-0,003224	0,013738	-1,182941	
343,440918	-0,003257	-0,003225	0,013738	-1,202647	
343,440918	-0,003257	-0,003224	0,013738	-1,202647	
359,051849	-0,003257	-0,003224	0,014362	-1,221765	
359,051849	-0,003253	-0,003222	0,014362	-1,221765	
374,662811	-0,003254	-0,003223	0,014987	-1,240882	
374,662811	-0,003256	-0,003226	0,014987	-1,240882	
390,273743	-0,003257	-0,003224	0,015611	-1,259706	
390,273743	-0,003253	-0,003225	0,015611	-1,259706	
390,273743	-0,003257	-0,003224	0,015611	-1,278823	
390,273743	-0,003257	-0,003223	0,015611	-1,278823	
390,273743	-0,003257	-0,003224	0,015611	-1,298235	
