					
Mesure effectuee le 24/03/2014 a 15:56					
frequence 100 millisecond multiple					
section 0,06mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,06
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
780,547485	-0,003257	-0,003222	0,046833	-2,111765	
780,547485	-0,003257	-0,003226	0,046833	-2,131471	
780,547485	-0,003253	-0,003222	0,046833	-2,131471	
770,140198	-0,003254	-0,003225	0,046208	-2,151176	
770,140198	-0,003258	-0,003226	0,046208	-2,151176	
780,547485	-0,003258	-0,003226	0,046833	-2,170882	
780,547485	-0,003258	-0,003224	0,046833	-2,170882	
801,362122	-0,003259	-0,003223	0,048082	-2,190882	
801,362122	-0,003258	-0,003224	0,048082	-2,190882	
822,176697	-0,003256	-0,003224	0,049331	-2,211176	
822,176697	-0,003256	-0,003225	0,049331	-2,211176	
801,362122	-0,003256	-0,003223	0,048082	-2,231471	
801,362122	-0,003256	-0,003223	0,048082	-2,231471	
811,769409	-0,003259	-0,003223	0,048706	-2,251176	
811,769409	-0,003256	-0,003224	0,048706	-2,251176	
822,176697	-0,003256	-0,003222	0,049331	-2,271177	
822,176697	-0,003257	-0,003223	0,049331	-2,271177	
842,991333	-0,003257	-0,003222	0,050579	-2,291471	
842,991333	-0,003257	-0,003224	0,050579	-2,291471	
874,213196	-0,003258	-0,003223	0,052453	-2,311177	
874,213196	-0,003256	-0,003225	0,052453	-2,311177	
863,805908	-0,003258	-0,003222	0,051828	-2,331177	
863,805908	-0,003257	-0,003223	0,051828	-2,331177	
863,805908	-0,003256	-0,003224	0,051828	-2,351177	
863,805908	-0,003256	-0,003225	0,051828	-2,351177	
895,027832	-0,003258	-0,003224	0,053702	-2,371176	
895,027832	-0,003258	-0,003224	0,053702	-2,371176	
884,620483	-0,003256	-0,003225	0,053077	-2,390882	
884,620483	-0,003254	-0,003224	0,053077	-2,390882	
895,027832	-0,003256	-0,003223	0,053702	-2,411176	
895,027832	-0,003254	-0,003225	0,053702	-2,411176	
926,249695	-0,003254	-0,003225	0,055575	-2,430882	
926,249695	-0,003257	-0,003223	0,055575	-2,430882	
915,842407	-0,003257	-0,003223	0,054951	-2,451176	
915,842407	-0,003256	-0,003225	0,054951	-2,451176	
936,656982	-0,003258	-0,003222	0,056199	-2,470882	
936,656982	-0,003254	-0,003223	0,056199	-2,470882	
957,471619	-0,003257	-0,003223	0,057448	-2,491471	
957,471619	-0,003258	-0,003223	0,057448	-2,491471	
936,656982	-0,003256	-0,003222	0,056199	-2,511177	
936,656982	-0,003256	-0,003224	0,056199	-2,511177	
936,656982	-0,003257	-0,003223	0,056199	-2,530588	
936,656982	-0,003256	-0,003223	0,056199	-2,530588	
936,656982	-0,003257	-0,003225	0,056199	-2,550294	
936,656982	-0,003256	-0,003224	0,056199	-2,550294	
988,693481	-0,003259	-0,003222	0,059322	-2,570882	
988,693481	-0,003258	-0,003224	0,059322	-2,570882	
988,693481	-0,003256	-0,003224	0,059322	-2,590882	
988,693481	-0,003256	-0,003224	0,059322	-2,590882	
999,10083	-0,003256	-0,003223	0,059946	-2,611176	
999,10083	-0,003258	-0,003223	0,059946	-2,611176	
999,10083	-0,003257	-0,003223	0,059946	-2,631176	
999,10083	-0,003256	-0,003222	0,059946	-2,631176	
999,10083	-0,003257	-0,003224	0,059946	-2,650882	
999,10083	-0,003256	-0,003223	0,059946	-2,650882	
1009,508118	-0,003256	-0,003226	0,06057	-2,671176	
1009,508118	-0,003257	-0,003228	0,06057	-2,671176	
1030,322754	-0,003258	-0,003224	0,061819	-2,690588	
1030,322754	-0,003256	-0,003223	0,061819	-2,690588	
1051,137329	-0,003257	-0,003225	0,063068	-2,711176	
1051,137329	-0,003256	-0,003223	0,063068	-2,711176	
1061,544556	-0,003257	-0,003223	0,063693	-2,730882	
1061,544556	-0,003257	-0,003224	0,063693	-2,730882	
1082,359253	-0,003256	-0,003224	0,064942	-2,750882	
1082,359253	-0,003258	-0,003224	0,064942	-2,750882	
1051,137329	-0,003257	-0,003223	0,063068	-2,770882	
1051,137329	-0,003256	-0,003226	0,063068	-2,770882	
1103,173828	-0,003256	-0,003226	0,06619	-2,791177	
1103,173828	-0,003258	-0,003224	0,06619	-2,791177	
1082,359253	-0,003257	-0,003225	0,064942	-2,811471	
1082,359253	-0,003256	-0,003224	0,064942	-2,811471	
1092,766479	-0,003256	-0,003226	0,065566	-2,83147	
